Titleofevent,artist,date,fb,geners,linkofstream,poster
,Tony Momrelle,"Aug 25th, 2020",https://www.facebook.com/TonyMomrelle/,"Soul, Neo Soul, Jazz, Rnb Alternative, Nu Soul",Ents24,https://photos.bandsintown.com/thumb/7929984.jpeg
,Sons of Serendip,"Aug 25th, 2020",https://www.facebook.com/SonsofSerendip/,Classical Crossover,Facebook,https://photos.bandsintown.com/thumb/9228370.jpeg
Port Cities - Bruce Guthro's Songwriters Circle,Port Cities,"Oct 16th, 2020",https://www.facebook.com/portcities/,"Pop, Singer Songwriter",bruceguthro.com,https://photos.bandsintown.com/thumb/10426394.jpeg
"Books-A-Million - Birmingham, AL",Sara Evans,"Sep 10th, 2020",https://facebook.com/saraevans,Country,www.crowdcast.io,https://photos.bandsintown.com/thumb/10276459.jpeg
,Hot Chip,"Sep 5th, 2020",https://www.facebook.com/hotchip/,Electronic,Ents24,https://photos.bandsintown.com/thumb/9101545.jpeg
"Parnassus Books - Nashville, TN",Sara Evans,"Sep 9th, 2020",https://facebook.com/saraevans,Country,www.eventbrite.com,https://photos.bandsintown.com/thumb/10276459.jpeg
Bruce Guthro's Songwriters Circle,Mo Kenney,"Nov 27th, 2020",https://www.facebook.com/mokenneymusic/,"Folk, Pop, Rock",bruceguthro.com,https://photos.bandsintown.com/thumb/10426349.jpeg
The Wednesday Club - Fan Voted Set List ,Plain White T's,"Sep 2nd, 2020",https://www.facebook.com/plainwhitets/,"Poprock, Power Pop, Alt Rock",Facebook,https://photos.bandsintown.com/thumb/8800211.jpeg
Small Pre-show Zoom Q&A # 2 with Pete Yorn (Includes show ticket for Day I Forgot livestream),Pete Yorn,"Aug 30th, 2020",https://www.facebook.com/peteyorn/,"Folk, Singer, Songwriter",peteyorn.veeps.com,https://photos.bandsintown.com/thumb/9402249.jpeg
,Newton Faulkner,"Aug 29th, 2020",https://www.facebook.com/newtonfaulkner/,Acoustic-pop,Ents24,https://photos.bandsintown.com/thumb/8557279.jpeg
EVAN + ZANE: Welcome To The Machine (Live from Hotel Cafe),Zane Carney,"Aug 27th, 2020",https://www.facebook.com/zanecarneyofficial/,"Folk, Rock, Pop, Singer, Folk Rock, Songwriter, Blues, Jazz",viddd.co,https://photos.bandsintown.com/thumb/10473890.jpeg
CRITICAL THEORY ROCKSTAR WORLDWIDE LIVESTREAM,SASAMI,"Aug 22nd, 2020",https://www.facebook.com/SASAMIASHWORTH/,,noonchorus.com,https://photos.bandsintown.com/thumb/8964097.jpeg
Rebecca Downes Full Band at Birmingham Streams,Rebecca Downes,"Aug 28th, 2020",https://www.facebook.com/RebeccaDownes/,"Rock, Rock Blues",www.birminghamstreams.co.uk,https://photos.bandsintown.com/thumb/8848495.jpeg
National Sawdust: Digital Discovery Festival,Brooklyn Rider,"Aug 27th, 2020",https://www.facebook.com/BklynRider/,"International, World, Classical, Chamber Music",live.nationalsawdust.org,https://photos.bandsintown.com/thumb/6667336.jpeg
,Amythyst Kiah,"Aug 22nd, 2020",https://www.facebook.com/amythystkiah,"Delta Blues, Blues, Americana, Folk, Southern Roots, Alt-country",Facebook,https://photos.bandsintown.com/thumb/7865936.jpeg
Linda and ME ,Melissa Etheridge,"Aug 26th, 2020",https://www.facebook.com/MelissaEtheridge/,"Country, Rock",www.etheridgetv.com,https://photos.bandsintown.com/thumb/10439470.jpeg
Bandsintown Meet and Greet,Ryland James,"Aug 21st, 2020",https://www.facebook.com/rylandjamesmusic,"Pop, Pop-soul, Soul",hopin.to,https://photos.bandsintown.com/thumb/9817562.jpeg
McKee Mondays - Andy McKee Live on Facebook & Instagram,Andy McKee,"Aug 17th, 2020",https://www.facebook.com/andymckeemusic/,Instrumental Acoustic Guitar,Facebook,https://photos.bandsintown.com/thumb/8203795.jpeg
The Aquadolls - Beach Life Livestream Concert,The Aquadolls,"Aug 20th, 2020",https://www.facebook.com/theaquadolls/,"Mermaid Rock, Psychedelic Surf Punk",beachlifefestival.com,https://photos.bandsintown.com/thumb/9302069.jpeg
