artist,endtime,starttime,timezone
Anthony D'Amato,--------,16:00:00,America/Chicago
Kruger Brothers,--------,19:00:00,America/New_York
The Gold Souls,--------,21:00:00,America/New_York
The Wrecks,--------,20:15:00,America/Los_Angeles
The Meadows Brothers,--------,14:00:00,America/New_York
Siobhan Miller,14:40:00,14:10:00,America/New_York
Ruthie Collins,--------,17:30:00,America/Chicago
l3vitar,18:30:00,18:00:00,Europe/London
Annie Brobst,--------,18:30:00,America/New_York
Jodee Lewis,17:25:00,16:25:00,America/Chicago
Angela Perley,--------,20:00:00,America/New_York
Alexander 23,--------,20:00:00,America/New_York
UNCABARET,21:30:00,19:30:00,America/Los_Angeles
The Creek Rocks,22:30:00,21:30:00,America/Chicago
Argyle Goolsby,--------,17:00:00,America/New_York
Della Mae,20:30:00,20:00:00,America/New_York
KJ Denhert,13:00:00,12:30:00,America/New_York
Della Mae,21:00:00,20:00:00,America/New_York
Terri Hendrix,--------,00:30:00,America/New_York
Achilles Wheel,20:00:00,19:00:00,America/Los_Angeles
Ramsey Lewis,14:00:00,13:00:00,America/Chicago
decker.,--------,19:00:00,America/Phoenix
Della Mae,20:30:00,20:00:00,America/New_York
Allan Harris,15:00:00,14:00:00,America/New_York
Plain White T's,--------,19:00:00,America/Chicago
Greensky Bluegrass,--------,20:00:00,America/Chicago
Didirri,21:00:00,19:30:00,Australia/Melbourne
Greensky Bluegrass,--------,20:00:00,America/Chicago
Frazey Ford,--------,21:00:00,America/New_York
Say Hi,--------,16:00:00,America/Los_Angeles
Surma,--------,10:30:00,Europe/Lisbon
SZLACHETKA,20:30:00,19:00:00,America/New_York
MIREI,19:40:00,19:00:00,America/New_York
Alice Howe,--------,19:30:00,America/New_York
Jeff Coffin,20:00:00,19:00:00,America/Chicago
Kara Marni,--------,17:30:00,America/Los_Angeles
K Prouty,16:00:00,15:00:00,America/Los_Angeles
Sean Chambers,20:00:00,19:00:00,America/New_York
Trevor Gordon Hall,22:30:00,21:00:00,America/New_York
Orrin Evans,18:00:00,16:00:00,America/New_York
Tina Schlieske,18:00:00,16:30:00,America/Los_Angeles
Adam Hawley,19:00:00,18:00:00,America/Los_Angeles
Capyac,20:30:00,18:30:00,America/Los_Angeles
Jaimee Harris,--------,19:00:00,America/Chicago
Benny Benack Jazz,--------,20:00:00,America/New_York
Christina Martin,17:00:00,16:00:00,America/Halifax
Reg Meuross,20:00:00,19:00:00,Europe/London
Yung Baby Tate,--------,12:00:00,America/Los_Angeles
Biff Byford,--------,20:00:00,Europe/London
Mile Marker Zero,20:00:00,19:00:00,America/New_York
Chuck Brodsky,--------,15:00:00,America/New_York
Hudson Thames,18:00:00,17:00:00,America/Los_Angeles
JD Shelburne,--------,19:00:00,America/Chicago
Justin Flom,20:30:00,19:00:00,America/Chicago
Payton Howie,--------,21:00:00,America/Los_Angeles
Shiny Penny,20:00:00,19:00:00,America/Indiana/Indianapolis
Wendy Colonna,20:00:00,19:00:00,America/Chicago
Brittany Haas,--------,16:00:00,America/New_York
Ann Hampton Callaway,17:00:00,16:00:00,America/Los_Angeles
Deliverance,--------,20:00:00,America/Chicago
Bruce Molsky,--------,19:00:00,America/New_York
Big Cedar Fever,21:00:00,20:00:00,America/Chicago
Matthew Whitaker,--------,20:00:00,America/New_York
Argyle Goolsby,--------,17:00:00,America/New_York
Rachael Sage,--------,15:00:00,America/New_York
Jocelyn & Chris Arndt,--------,19:00:00,America/New_York
Robin Pecknold,--------,19:00:00,America/New_York
Hamish Anderson,20:00:00,19:00:00,America/New_York
Adrian Conner,20:00:00,19:00:00,America/Chicago
SINE,22:00:00,21:00:00,America/Chicago
Allan Harris,15:00:00,14:00:00,America/New_York
Lazy Ghost,20:30:00,18:30:00,America/Vancouver
Willie Wisely,18:30:00,17:00:00,America/Chicago
Marcy Grace,18:30:00,18:00:00,America/Chicago
Man Mountain,20:00:00,19:00:00,America/New_York
Michelle Lambert,18:00:00,17:00:00,America/Los_Angeles
Rory Block,21:00:00,19:30:00,America/New_York
Strings Attached,20:30:00,19:30:00,America/Chicago
Max Stalling,20:15:00,19:00:00,America/Chicago
Madison Vandenburg,19:30:00,19:00:00,America/New_York
Tyler Meacham,21:30:00,20:00:00,America/New_York
Lion Babe,--------,19:00:00,America/New_York
Lady Nade,23:15:00,19:15:00,Europe/London
Dave Nachmanoff,--------,13:00:00,America/Los_Angeles
TinMan,20:00:00,19:00:00,America/Los_Angeles
Mirah,--------,20:00:00,America/New_York
Tucker Beathard,--------,20:00:00,America/New_York
Jay Ungar & Molly Mason,--------,20:00:00,America/New_York
Rory Block,21:00:00,19:30:00,America/New_York
Aaron English,20:45:00,20:00:00,America/New_York
Della Mae,10:00:00,09:30:00,America/New_York
Argyle Goolsby,--------,17:00:00,America/New_York
Jonathan Byrd,--------,19:00:00,America/New_York
Argyle Goolsby,--------,17:00:00,America/New_York
Goldenoak,21:00:00,19:30:00,America/New_York
Michael J. Miles,21:00:00,20:00:00,America/Chicago
Argyle Goolsby,--------,17:00:00,America/New_York
Argyle Goolsby,--------,17:00:00,America/New_York
Lara Herscovitch,21:00:00,19:00:00,America/New_York
Alfa Rococo,17:30:00,17:00:00,America/New_York
Mike Masse,21:00:00,19:00:00,America/Denver
Everyone Orchestra,--------,21:30:00,America/New_York
Teddy Adhitya,--------,21:00:00,Asia/Jakarta
Shane Hennessy,17:15:00,16:40:00,America/New_York
Cata Raybaud,21:00:00,20:00:00,America/Argentina/Buenos_Aires
Patchouli,--------,19:00:00,America/Chicago
Clinton Fearon,12:30:00,10:00:00,America/Los_Angeles
